Job,Action,Dataset,StartTime,EndTime
5f1e22a0-440b-4d9a-8b5b-6963ee86da82,read,6f57ebb7-0e27-4503-a4b8-978c251c14b5,1459760147000,145976015000
c9f76f52-12e8-4aee-9061-748e13b956e2,read,5719e9da-7f82-470d-bd23-d8ca873f3ea6,1459807904000,145980796400
a1c6abfe-a83b-4a31-b112-ed3c9a2b31f4,read,34bae790-b5fc-4f8e-a7d0-1db41f4a11df,1459808319000,145980833900
8e0b386e-689b-42e4-acbe-6ee9f0f12dd6,read,0005d127-8a26-4964-a217-84254ac15787,1459800367000,145980065300
dba194b3-151a-4fa7-b1a7-773f2523b592,read,14c13e05-0dac-4139-a981-8955c99b5234,1459774405000,145977441500
12aa5f46-3ea5-4fbf-9e13-dd42e4c515a5,read,1fa590fd-1473-4fec-98ed-a02bd4f03076,1459786303000,145978633600
6786cfbc-eec9-4bfc-a71b-a9c0e2200ec0,read,5676ad82-c681-4c5d-984f-ec9005d542dc,1459778360000,145977839000
fb60d526-b681-41a8-8353-502cdfb74c6c,read,018eda49-9d5d-42c4-b91a-f84a28c93b5d,1459783633000,145978363400
c06cb8b4-0c2d-44d0-8fdd-92369e913aa1,read,03ad60f3-b47b-4a3f-b1ba-ecd49918c7e1,1459740878000,145974152000
43950677-3653-4cee-aaac-e6b8a723c0ff,read,0022d28d-8be7-46cb-bc05-d00e371dfe82,1459730473000,145973049800
2f17b6bc-6a2a-4ba9-b696-558851bb0e9b,read,1c231f76-3072-4bf9-b737-be7a1293099f,1459747893000,145974791500
39929894-445d-436f-92c9-417e4b5edea3,read,955048da-7968-416d-860c-48ef0d991160,1459791083000,145979110000
859ee773-3574-41c5-b3da-3b338486745b,read,809178ce-6d61-492a-9f9f-01dbcd715616,1459747632000,145974763700
573df712-61fa-4410-b237-caa3b53273f9,read,078ed747-f2f8-4e40-b9da-f6844b32ebd5,1459757820000,145975782300
7b4e0c77-45b7-42d5-b5d1-28dc7de44f5f,read,0519d232-ab3e-4eea-a27d-1ff4c5804549,1459779813000,145977982000
f66868d3-ea40-4583-ac3d-64bad8de0bd4,read,0037b683-392e-405c-bbd4-dde90689e5ab,1459730060000,145973126800
4d0455ce-d126-4a29-bd1c-0426bd57ff03,read,ee618f88-537a-44e1-a3aa-9cf629b11a82,1459807800000,145980781200
1cb24ba1-ceff-4e8f-a6dd-eacdd0f7fb25,write,06acb617-278f-49db-8894-5c02ff0f959c,1459785721000,145978574000
08aa2800-3cbc-44b0-af14-1c17c6d29cd2,read,063a0a87-6bad-4d9c-903e-03741e7890bb,1459814363000,145981436700
71c3f3fe-8706-4086-b095-0493d957a6ea,read,018eda49-9d5d-42c4-b91a-f84a28c93b5d,1459802840000,145980284100
b6236cdc-99e1-498f-a42a-62408ef9bbe4,read,52f348b0-edea-42b0-a149-f53dce988d43,1459738618000,145973864300
ec60ad9d-b180-4a40-aec6-a38515d4b950,read,02968e1b-bd15-472b-9f76-e4706a216b05,1459757552000,145975762000
000580ea-a19b-4e77-bef1-a52bb389b908,read,9684b4fe-ead6-42d6-af6c-7a955d97ca18,1459753153000,145975328700
257eb848-f7d3-4c21-9412-b28faede0b44,read,0005d127-8a26-4964-a217-84254ac15787,1459806895000,145980716600
ac629650-594a-4482-8e05-977760ec4f6c,read,20998019-6ac3-497b-9272-d7848ec78142,1459801037000,145980134200
97343e97-f581-49d8-b227-5c5fb68b9440,read,274b61a6-44ab-475c-860d-032470f5560f,1459761017000,145976104100
e45a1d04-b96e-4490-8145-ca176e2a75d8,write,a4f1fe63-2287-4e34-8951-67f921ee8673,1459805884000,145980591200
d29cc81e-9d4d-46d6-a104-e1d43e9f23bb,write,1c1183c0-378c-4be2-94e7-27564f1ca1eb,1459730699000,145973074000
