Time,Action,Path,Mode,From,To,To UID,To GID,To User Name,To Group Name,Size,Offset,Result,UID,PID,PPID,Command Line
1490369977684 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/in1.csv,,,,,,,,4096,0,SUCCESS,1000,3013,3012,python concat_csvs.py in1.csv in2.csv out2.csv out3.csv 
1490369977685 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/in1.csv,,,,,,,,14,0,SUCCESS,1000,3013,3012,python concat_csvs.py in1.csv in2.csv out2.csv out3.csv 
1490369977689 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/in2.csv,,,,,,,,4096,0,SUCCESS,1000,3013,3012,python concat_csvs.py in1.csv in2.csv out2.csv out3.csv 
1490369977690 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/in2.csv,,,,,,,,14,0,SUCCESS,1000,3013,3012,python concat_csvs.py in1.csv in2.csv out2.csv out3.csv 
1490369977691 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/out2.csv,,,,,,,,4096,0,SUCCESS,1000,3013,3012,python concat_csvs.py in1.csv in2.csv out2.csv out3.csv 
1490369977692 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/out2.csv,,,,,,,,14,0,SUCCESS,1000,3013,3012,python concat_csvs.py in1.csv in2.csv out2.csv out3.csv 
1490369977696 ,open-writeonly,/home/lubuntu/src/file_access_monitor/test_workflows/out3.csv,,,,,,,,,,SUCCESS,1000,3013,3012,python concat_csvs.py in1.csv in2.csv out2.csv out3.csv 
1490369977696 ,write-request,/home/lubuntu/src/file_access_monitor/test_workflows/out3.csv,,,,,,,,22,0,SUCCESS,1000,3013,3012,python concat_csvs.py in1.csv in2.csv out2.csv out3.csv 
1490369977696 ,write,/home/lubuntu/src/file_access_monitor/test_workflows/out3.csv,,,,,,,,22,0,SUCCESS,1000,3013,3012,python concat_csvs.py in1.csv in2.csv out2.csv out3.csv 
1490369979040 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/in1.csv,,,,,,,,4096,0,SUCCESS,1000,3020,3012,python concat_csvs.py in1.csv in2.csv out2.csv out4.csv 
1490369979040 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/in1.csv,,,,,,,,14,0,SUCCESS,1000,3020,3012,python concat_csvs.py in1.csv in2.csv out2.csv out4.csv 
1490369979042 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/in2.csv,,,,,,,,4096,0,SUCCESS,1000,3020,3012,python concat_csvs.py in1.csv in2.csv out2.csv out4.csv 
1490369979042 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/in2.csv,,,,,,,,14,0,SUCCESS,1000,3020,3012,python concat_csvs.py in1.csv in2.csv out2.csv out4.csv 
1490369979043 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/out2.csv,,,,,,,,4096,0,SUCCESS,1000,3020,3012,python concat_csvs.py in1.csv in2.csv out2.csv out4.csv 
1490369979044 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/out2.csv,,,,,,,,14,0,SUCCESS,1000,3020,3012,python concat_csvs.py in1.csv in2.csv out2.csv out4.csv 
1490369979049 ,open-writeonly,/home/lubuntu/src/file_access_monitor/test_workflows/out4.csv,,,,,,,,,,SUCCESS,1000,3020,3012,python concat_csvs.py in1.csv in2.csv out2.csv out4.csv 
1490369979049 ,write-request,/home/lubuntu/src/file_access_monitor/test_workflows/out4.csv,,,,,,,,22,0,SUCCESS,1000,3020,3012,python concat_csvs.py in1.csv in2.csv out2.csv out4.csv 
1490369979049 ,write,/home/lubuntu/src/file_access_monitor/test_workflows/out4.csv,,,,,,,,22,0,SUCCESS,1000,3020,3012,python concat_csvs.py in1.csv in2.csv out2.csv out4.csv 
