Time,Action,Path,Mode,From,To,To UID,To GID,To User Name,To Group Name,Size,Offset,Result,UID,PID,PPID,Command Line
1490383121570 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/in1.csv,,,,,,,,4096,0,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383121570 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/in1.csv,,,,,,,,14,0,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383121572 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/in2.csv,,,,,,,,4096,0,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383121572 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/in2.csv,,,,,,,,14,0,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383121573 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/in3.csv,,,,,,,,4096,0,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383121573 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/in3.csv,,,,,,,,14,0,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383121574 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/in4.csv,,,,,,,,4096,0,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383121574 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/in4.csv,,,,,,,,14,0,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383121577 ,open-writeonly,/home/lubuntu/src/file_access_monitor/test_workflows/out3.csv,,,,,,,,,,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383121577 ,write-request,/home/lubuntu/src/file_access_monitor/test_workflows/out3.csv,,,,,,,,26,0,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383121577 ,write,/home/lubuntu/src/file_access_monitor/test_workflows/out3.csv,,,,,,,,26,0,SUCCESS,1000,3857,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out3.csv 
1490383122914 ,read-request,/home/lubuntu/src/file_access_monitor/test_workflows/in1.csv,,,,,,,,4096,0,SUCCESS,1000,3864,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out4.csv 
1490383122914 ,read,/home/lubuntu/src/file_access_monitor/test_workflows/in1.csv,,,,,,,,14,0,SUCCESS,1000,3864,3856,python concat_csvs.py in1.csv in2.csv in3.csv in4.csv out4.csv 
