src dst time
11 39 0
48 54 2635
69 60 4249
69 60 13362
33 84 16943
33 84 17283
33 84 18423
54 48 18442
54 48 18459
57 24 18846
57 26 18846
57 65 18846
48 54 20429
22 54 20508
57 26 22407
48 22 22792
54 48 22820
57 26 22937
4 38 24198
25 71 25129
69 30 26781
83 56 26988
60 16 28306
60 22 28306
57 24 29413
57 26 29413
57 65 29413
16 60 29929
16 22 29929
24 57 30142
22 54 31530
29 60 31931
57 26 31969
57 26 33378
69 66 35509
69 21 35509
69 30 35509
69 60 36272
65 54 68947
39 54 92562
39 64 92968
14 77 97258
61 56 98702
33 84 100886
38 4 101099
33 84 101266
54 65 102236
70 80 102737
66 4 106544
85 64 110945
24 54 112161
65 24 115393
69 60 115967
48 24 118759
60 21 127703
0 89 177248
54 67 181093
38 4 186611
14 77 187754
57 24 190698
57 26 190698
57 65 190698
57 35 190698
57 24 190960
57 26 190960
57 65 190960
23 60 191335
23 7 191335
23 59 191335
23 62 191335
23 5 191335
23 66 191335
23 21 191335
23 44 191335
23 81 191335
23 69 191335
23 30 191335
23 88 191335
24 65 191337
49 60 191360
69 60 192103
25 49 195694
65 35 195787
54 24 197408
54 16 198018
16 35 199476
87 56 201101
87 56 201948
54 16 202648
25 14 205462
14 25 207076
49 25 209770
24 65 210924
23 59 212536
23 62 212536
23 66 212536
23 69 212536
23 58 212536
66 4 212898
60 7 216287
